CODIGO_MACROPROYECTO,MACRO_PROYECTO,CATEGORIA,FECHA,TIPO_DE_PRESUPUESTO,UNIDADES,PESOS
GPR1907,Alameda  170,Actual,1/1/2024,Financiero,0,0.00
GPR1913,Bosque,Actual,1/1/2024,Financiero,0,0.00
GPR1952,Santa Cruz,Actual,1/1/2024,Financiero,0,0.00
GPR2116,Ponteverdi,Actual,1/1/2024,Financiero,0,0.00
GPR2205,Otoño,Categoria 2,1/1/2024,Financiero,140,26403160000.00
GPR1940,Ciudad Verde,Actual,1/1/2024,Financiero,0,0.00
GPR1913,Bosque,Actual,1/1/2024,Financiero,0,0.00
GPR1902,Alameda del Río,Actual,1/1/2024,Financiero,40,7885795791.54
GPR1902,Alameda del Río,Actual,1/1/2024,Financiero,0,0.00
GPR2205,Otoño,Categoria 2,1/1/2024,Financiero,0,0.00
GPR1975,Ciudadela del Portal,Actual,1/1/2024,Financiero,60,11339473731.48
GPR1975,Parque Heredia,Actual,1/1/2024,Financiero,16,3192787536.15
GPR1922,Parque Heredia,Actual,1/1/2024,Financiero,17,3611179424.96
GPR1947,Valparaiso,Lanzamiento,1/1/2024,Financiero,0,0.00
GPR1943,San Antonio,Actual,1/1/2024,Financiero,10,951362202.89
GPR1922,Parque Heredia,Actual,1/1/2024,Financiero,0,0.00
GPR1902,Alameda del Río,Actual,1/1/2024,Financiero,0,0.00
GPR1939,Las Palmas - Girardot,Actual,1/1/2024,Financiero,9,2840909090.91
GPR1912,Boreal ,Actual,1/1/2024,Financiero,15,8458806799.87
GPR1912,Boreal ,Futuras Etapas,1/1/2024,Financiero,15,8458806799.87
GPR1906,Brisas del Río,Actual,1/1/2024,Financiero,0,0.00
GPR1975,Ciudadela del Portal,Actual,1/1/2024,Financiero,0,0.00
GPR1934,Empresarial ,Actual,1/1/2024,Financiero,0,0.00
GPR1922,Empresarial ,Actual,1/1/2024,Financiero,0,0.00
GPR1949,Empresarial ,Actual,1/1/2024,Financiero,0,0.00
GPR1922,Parque Heredia,Actual,1/1/2024,Financiero,15,2865181751.06
GPR1916,Granada,Actual,1/1/2024,Financiero,0,0.00
GPR1975,Ciudadela del Portal,Actual,1/1/2024,Financiero,0,0.00
GPR1913,Bosque,Actual,1/1/2024,Financiero,0,0.00
GPR2009,Cangrejera,Categoria 1,1/1/2024,Financiero,0,0.00
GPR2009,Cangrejera,Categoria 1,1/1/2024,Financiero,0,0.00
GPR1910,Cantabria ,Actual,1/1/2024,Financiero,0,0.00
GPR2217,Parque Heredia,Actual,1/1/2024,Financiero,20,3242553800.00
GPR2217,Parque Heredia,Futuras Etapas,1/1/2024,Financiero,0,0.00
GPR2219,Casablanca - Rionegro,Categoria 2,1/1/2024,Financiero,0,0.00
GPR2219,Casablanca - Rionegro,Categoria 2,1/1/2024,Financiero,0,0.00
GPR1940,Ciudad Verde,Actual,1/1/2024,Financiero,0,0.00
GPR1913,Bosque,Actual,1/1/2024,Financiero,9,4767814400.27
GPR1943,San Antonio,Actual,1/1/2024,Financiero,1,100225044.61
GPR1922,Parque Heredia,Actual,1/1/2024,Financiero,0,0.00
GPR1914,Otoño,Actual,1/1/2024,Financiero,7,3994495412.84
GPR1921,Las Huerta de Cajica,Futuras Etapas,1/1/2024,Financiero,8,5640608000.00
GPR1913,Bosque,Futuras Etapas,1/1/2024,Financiero,0,0.00
GPR1913,Bosque,Futuras Etapas,1/1/2024,Financiero,60,9187334902.76
GPR2309,Colsubsidio mz9,Categoria 1,1/1/2024,Financiero,10,5000000000.00
GPR1910,Empresarial ,Actual,1/1/2024,Financiero,0,0.00
GPR1917,Empresarial ,Actual,1/1/2024,Financiero,0,0.00
GPR1943,San Antonio,Actual,1/1/2024,Financiero,26,3804216000.00
GPR1952,Santa Cruz,Actual,1/1/2024,Financiero,0,0.00
GPR1908,Alejandria,Actual,1/1/2024,Financiero,0,0.00
GPR1936,Sauces,Actual,1/1/2024,Financiero,12,3579659480.56
GPR1922,Parque Heredia,Actual,1/1/2024,Financiero,0,0.00
GPR1902,Alameda del Río,Actual,1/1/2024,Financiero,9,2527941176.47
GPR1922,Parque Heredia,Actual,1/1/2024,Financiero,0,0.00
GPR1922,Parque Heredia,Actual,1/1/2024,Financiero,5,817146397.14
GPR1914,Otoño,Actual,1/1/2024,Financiero,0,0.00
GPR1914,Empresarial ,Actual,1/1/2024,Financiero,0,0.00
GPR1913,Bosque,Actual,1/1/2024,Financiero,0,0.00
GPR2218,Jardines del rio ,Categoria 1,1/1/2024,Financiero,6,6328218777.78
GPR1921,Las Huerta de Cajica,Actual,1/1/2024,Financiero,0,0.00
GPR1921,Las Huerta de Cajica,Actual,1/1/2024,Financiero,10,4879951735.29
GPR2208,Jardines de Fontanar,Actual,1/1/2024,Financiero,10,5812229156.50
GPR1921,Las Huerta de Cajica,Futuras Etapas,1/1/2024,Financiero,0,0.00
GPR1973,La Felicidad,Actual,1/1/2024,Financiero,15,8497045790.25
GPR1973,La Felicidad,Actual,1/1/2024,Financiero,7,6228249678.16
GPR1973,La Felicidad,Actual,1/1/2024,Financiero,3,2005434782.61
GPR1969,Lomas Cúcuta,Categoria 2,1/1/2024,Financiero,0,0.00
GPR1936,Sauces,Lanzamiento,1/1/2024,Financiero,0,0.00
GPR1936,Sauces,Actual,1/1/2024,Financiero,0,0.00
GPR1921,Las Huerta de Cajica,Futuras Etapas,1/1/2024,Financiero,0,0.00
GPR1902,Alameda del Río,Futuras Etapas,1/1/2024,Financiero,9,3673440000.00
GPR1914,Otoño,Actual,1/1/2024,Financiero,0,0.00
GPR1914,Empresarial ,Actual,1/1/2024,Financiero,0,0.00
GPR1950,llano alto/Juanambu,Actual,1/1/2024,Financiero,20,2903863636.36
GPR1950,llano alto/Juanambu,Actual,1/1/2024,Financiero,0,0.00
GPR2128,Santa Cruz,Actual,1/1/2024,Financiero,30,3685165311.34
GPR2128,Santa Cruz,Futuras Etapas,1/1/2024,Financiero,0,0.00
GPR1936,Sauces,Actual,1/1/2024,Financiero,20,4145750100.00
GPR1902,Alameda del Río,Futuras Etapas,1/1/2024,Financiero,0,0.00
GPR1939,Las Palmas - Girardot,Actual,1/1/2024,Financiero,0,0.00
GPR1922,Parque Heredia,Actual,1/1/2024,Financiero,0,0.00
GPR1913,Bosque,Actual,1/1/2024,Financiero,0,0.00
GPR2316,Maria Auxiliadora,Categoria 2,1/1/2024,Financiero,0,0.00
GPR1902,Alameda del Río,Futuras Etapas,1/1/2024,Financiero,0,0.00
GPR2004,Mirador de la cienaga ,Actual,1/1/2024,Financiero,0,0.00
GPR2201,Monterivera,Actual,1/1/2024,Financiero,4,4621847824.24
GPR1902,Alameda del Río,Actual,1/1/2024,Financiero,30,2015563791.42
GPR2401,Mirador de la cienaga ,Categoria 2,1/1/2024,Financiero,0,0.00
GPR1947,Valparaiso,Actual,1/1/2024,Financiero,0,0.00
GPR1913,Bosque,Actual,1/1/2024,Financiero,4,3469625844.87
GPR1936,Sauces,Actual,1/1/2024,Financiero,0,0.00
GPR1914,Otoño,Actual,1/1/2024,Financiero,9,4699352331.61
GPR1923,Serena del Mar,Actual,1/1/2024,Financiero,8,3718699186.99
GPR1939,Las Palmas - Girardot,Actual,1/1/2024,Financiero,0,0.00
GPR1950,llano alto/Juanambu,Categoria 1,1/1/2024,Financiero,0,0.00
GPR1971,llano alto/Juanambu,Categoria 1,1/1/2024,Financiero,0,0.00
GPR2004,Mirador de la cienaga ,Actual,1/1/2024,Financiero,0,0.00
GPR1975,Ciudadela del Portal,Actual,1/1/2024,Financiero,31,5454137516.73
GPR2109,Paseo del Parque,Actual,1/1/2024,Financiero,10,2343500800.80
GPR2109,Paseo del Parque,Actual,1/1/2024,Financiero,25,6578021307.66
GPR1949,Hacienda RosaBlanca Y Buque,Actual,1/1/2024,Financiero,30,5167078634.73
GPR1949,Hacienda RosaBlanca Y Buque,Actual,1/1/2024,Financiero,13,2092882235.29
GPR1949,Hacienda RosaBlanca Y Buque,Actual,1/1/2024,Financiero,0,0.00
GPR1902,Alameda del Río,Actual,1/1/2024,Financiero,0,0.00
GPR1913,Bosque,Actual,1/1/2024,Financiero,10,1850205316.54
GPR1913,Bosque,Actual,1/1/2024,Financiero,0,0.00
GPR1930,Ponte Verdi,Actual,1/1/2024,Financiero,1,1144125594.23
PES2117,Portal de Norte,Categoria 2,1/1/2024,Financiero,0,0.00
PES2117,Portal de Norte,Categoria 2,1/1/2024,Financiero,0,0.00
GPR1975,Ciudadela del Portal,Futuras Etapas,1/1/2024,Financiero,50,9396000000.00
GPR1916,Granada,Actual,1/1/2024,Financiero,7,1396844547.06
GPR1913,Bosque,Futuras Etapas,1/1/2024,Financiero,0,0.00
GPR1913,Bosque,Futuras Etapas,1/1/2024,Financiero,0,0.00
GPR1949,Hacienda RosaBlanca Y Buque,Actual,1/1/2024,Financiero,4,1030370370.37
GPR1949,Hacienda RosaBlanca Y Buque,Actual,1/1/2024,Financiero,12,3948684000.00
GPR2107,Proscenio,Categoria 1,1/1/2024,Financiero,2,10280373831.78
GPR1933,Refugio del valle ,Actual,1/1/2024,Financiero,1,1720285045.50
GPR1916,Granada,Actual,1/1/2024,Financiero,0,0.00
GPR1916,Granada,Actual,1/1/2024,Financiero,6,2891980632.00
GPR2013,Las Huerta de Cajica,Actual,1/1/2024,Financiero,12,3100000000.00
GPR1936,Sauces,Actual,1/1/2024,Financiero,30,5584906472.73
